French Southern Territories - Capital: Port-aux-Français - Population: 140 - Area (km2): 7829.0
Gabon - Capital: Libreville - Population: 1545255 - Area (km2): 267667.0
Gambia - Capital: Bathurst - Population: 1593256 - Area (km2): 11300.0
Georgia - Capital: Tbilisi - Population: 4630000 - Area (km2): 69700.0
Germany - Capital: Berlin - Population: 81802257 - Area (km2): 357021.0
Ghana - Capital: Accra - Population: 24339838 - Area (km2): 239460.0
Gibraltar - Capital: Gibraltar - Population: 27884 - Area (km2): 6.5
Greece - Capital: Athens - Population: 11000000 - Area (km2): 131940.0
Greenland - Capital: Nuuk - Population: 56375 - Area (km2): 2166086.0
Grenada - Capital: St. George's - Population: 107818 - Area (km2): 344.0
Guadeloupe - Capital: Basse-Terre - Population: 443000 - Area (km2): 1780.0
Guam - Capital: Hagåtña - Population: 159358 - Area (km2): 549.0
Guatemala - Capital: Guatemala City - Population: 13550440 - Area (km2): 108890.0
Guernsey - Capital: St Peter Port - Population: 65228 - Area (km2): 78.0
Guinea - Capital: Conakry - Population: 10324025 - Area (km2): 245857.0
Guinea-Bissau - Capital: Bissau - Population: 1565126 - Area (km2): 36120.0
Guyana - Capital: Georgetown - Population: 748486 - Area (km2): 214970.0
Haiti - Capital: Port-au-Prince - Population: 9648924 - Area (km2): 27750.0
Heard Island and McDonald Islands - Capital: None - Population: 0 - Area (km2): 412.0
Honduras - Capital: Tegucigalpa - Population: 7989415 - Area (km2): 112090.0
Hong Kong - Capital: Hong Kong - Population: 6898686 - Area (km2): 1092.0
Hungary - Capital: Budapest - Population: 9982000 - Area (km2): 93030.0
Iceland - Capital: Reykjavik - Population: 308910 - Area (km2): 103000.0
India - Capital: New Delhi - Population: 1173108018 - Area (km2): 3287590.0
Indonesia - Capital: Jakarta - Population: 242968342 - Area (km2): 1919440.0
Iran - Capital: Tehran - Population: 76923300 - Area (km2): 1648000.0
Iraq - Capital: Baghdad - Population: 29671605 - Area (km2): 437072.0
Ireland - Capital: Dublin - Population: 4622917 - Area (km2): 70280.0
Isle of Man - Capital: Douglas - Population: 75049 - Area (km2): 572.0
Israel - Capital: None - Population: 7353985 - Area (km2): 20770.0
Italy - Capital: Rome - Population: 60340328 - Area (km2): 301230.0
Ivory Coast - Capital: Yamoussoukro - Population: 21058798 - Area (km2): 322460.0
Jamaica - Capital: Kingston - Population: 2847232 - Area (km2): 10991.0
Japan - Capital: Tokyo - Population: 127288000 - Area (km2): 377835.0
Jersey - Capital: Saint Helier - Population: 90812 - Area (km2): 116.0
Jordan - Capital: Amman - Population: 6407085 - Area (km2): 92300.0
